Source,Title,Price,Rating,Link
Amazon,BRUTON,471.0,3.6,https://www.amazon.in/BRUTON-Sport-Shoes-Running-White/dp/B0F2TLLDGH/ref=sr_1_11?dib=eyJ2IjoiMSJ9.G8P2aklFMiI_nuH8CxlbMRQDPk-uKhdbW9UORtg1qlTzIG4IJIn5D6Uhp3FvTP_g9Un0GXw7SomadfcweeKgF3mcYWzFfCQlgTuP7hYytDvID-lwYlBKSS3uWhiWxN8S6IitNTZFxyf8VgrAHN3dsKGEFJSgv_-3YoYcHOVD7cvqtgvFp2Ef_8Ie-SY-RcdkrNQkWx11jB6dkAb7TnwSx3vKI_UJf-5F4vH3_qEUpSBSPKE9sNwoofDMrZPJNUBVGYkfTHIGA4JDKR6ECoc1Koztlm-WeOIl2kmoZPC7CuA.IbsMdl634nXu0pdRLYOy7FHxTirWg0mOBoG9azgpY7g&dib_tag=se&keywords=Shoes&qid=1757772481&sr=8-11
Amazon,Fitness Mantra,199.0,4.0,https://www.amazon.in/Fitness-Mantra%C2%AE-Sports-Breathable-Multicolor/dp/B0CTQ4RSMB/ref=sr_1_12?dib=eyJ2IjoiMSJ9.G8P2aklFMiI_nuH8CxlbMRQDPk-uKhdbW9UORtg1qlTzIG4IJIn5D6Uhp3FvTP_g9Un0GXw7SomadfcweeKgF3mcYWzFfCQlgTuP7hYytDvID-lwYlBKSS3uWhiWxN8S6IitNTZFxyf8VgrAHN3dsKGEFJSgv_-3YoYcHOVD7cvqtgvFp2Ef_8Ie-SY-RcdkrNQkWx11jB6dkAb7TnwSx3vKI_UJf-5F4vH3_qEUpSBSPKE9sNwoofDMrZPJNUBVGYkfTHIGA4JDKR6ECoc1Koztlm-WeOIl2kmoZPC7CuA.IbsMdl634nXu0pdRLYOy7FHxTirWg0mOBoG9azgpY7g&dib_tag=se&keywords=Shoes&qid=1757772481&sr=8-12
Amazon,LANCER,565.0,3.6,https://www.amazon.in/Lancer-White-Sports-Running-Indus-251/dp/B081LGL5QT/ref=sr_1_13?dib=eyJ2IjoiMSJ9.G8P2aklFMiI_nuH8CxlbMRQDPk-uKhdbW9UORtg1qlTzIG4IJIn5D6Uhp3FvTP_g9Un0GXw7SomadfcweeKgF3mcYWzFfCQlgTuP7hYytDvID-lwYlBKSS3uWhiWxN8S6IitNTZFxyf8VgrAHN3dsKGEFJSgv_-3YoYcHOVD7cvqtgvFp2Ef_8Ie-SY-RcdkrNQkWx11jB6dkAb7TnwSx3vKI_UJf-5F4vH3_qEUpSBSPKE9sNwoofDMrZPJNUBVGYkfTHIGA4JDKR6ECoc1Koztlm-WeOIl2kmoZPC7CuA.IbsMdl634nXu0pdRLYOy7FHxTirWg0mOBoG9azgpY7g&dib_tag=se&keywords=Shoes&qid=1757772481&sr=8-13
Amazon,Bata,791.0,3.6,https://www.amazon.in/Bata-Formal-Stylish-Comfortable-Durable/dp/B096BC9F93/ref=sr_1_14?dib=eyJ2IjoiMSJ9.G8P2aklFMiI_nuH8CxlbMRQDPk-uKhdbW9UORtg1qlTzIG4IJIn5D6Uhp3FvTP_g9Un0GXw7SomadfcweeKgF3mcYWzFfCQlgTuP7hYytDvID-lwYlBKSS3uWhiWxN8S6IitNTZFxyf8VgrAHN3dsKGEFJSgv_-3YoYcHOVD7cvqtgvFp2Ef_8Ie-SY-RcdkrNQkWx11jB6dkAb7TnwSx3vKI_UJf-5F4vH3_qEUpSBSPKE9sNwoofDMrZPJNUBVGYkfTHIGA4JDKR6ECoc1Koztlm-WeOIl2kmoZPC7CuA.IbsMdl634nXu0pdRLYOy7FHxTirWg0mOBoG9azgpY7g&dib_tag=se&keywords=Shoes&qid=1757772481&sr=8-14
Amazon,Reebok,1538.0,3.9,https://www.amazon.in/Reebok-Stride-Runner-Running-Shoes/dp/B09SHTBKK4/ref=sr_1_15?dib=eyJ2IjoiMSJ9.G8P2aklFMiI_nuH8CxlbMRQDPk-uKhdbW9UORtg1qlTzIG4IJIn5D6Uhp3FvTP_g9Un0GXw7SomadfcweeKgF3mcYWzFfCQlgTuP7hYytDvID-lwYlBKSS3uWhiWxN8S6IitNTZFxyf8VgrAHN3dsKGEFJSgv_-3YoYcHOVD7cvqtgvFp2Ef_8Ie-SY-RcdkrNQkWx11jB6dkAb7TnwSx3vKI_UJf-5F4vH3_qEUpSBSPKE9sNwoofDMrZPJNUBVGYkfTHIGA4JDKR6ECoc1Koztlm-WeOIl2kmoZPC7CuA.IbsMdl634nXu0pdRLYOy7FHxTirWg0mOBoG9azgpY7g&dib_tag=se&keywords=Shoes&qid=1757772481&sr=8-15
Amazon,BRUTON,299.0,3.1,https://www.amazon.in/BRUTON-Exclusive-Trendy-Shoes-Numeric_7/dp/B0BKKZ5RY2/ref=sr_1_16?dib=eyJ2IjoiMSJ9.G8P2aklFMiI_nuH8CxlbMRQDPk-uKhdbW9UORtg1qlTzIG4IJIn5D6Uhp3FvTP_g9Un0GXw7SomadfcweeKgF3mcYWzFfCQlgTuP7hYytDvID-lwYlBKSS3uWhiWxN8S6IitNTZFxyf8VgrAHN3dsKGEFJSgv_-3YoYcHOVD7cvqtgvFp2Ef_8Ie-SY-RcdkrNQkWx11jB6dkAb7TnwSx3vKI_UJf-5F4vH3_qEUpSBSPKE9sNwoofDMrZPJNUBVGYkfTHIGA4JDKR6ECoc1Koztlm-WeOIl2kmoZPC7CuA.IbsMdl634nXu0pdRLYOy7FHxTirWg0mOBoG9azgpY7g&dib_tag=se&keywords=Shoes&qid=1757772481&sr=8-16
Amazon,BRUTON,433.0,3.6,https://www.amazon.in/BRUTON-Sport-Shoes-Running-White/dp/B0F4KSWZR5/ref=sr_1_17?dib=eyJ2IjoiMSJ9.G8P2aklFMiI_nuH8CxlbMRQDPk-uKhdbW9UORtg1qlTzIG4IJIn5D6Uhp3FvTP_g9Un0GXw7SomadfcweeKgF3mcYWzFfCQlgTuP7hYytDvID-lwYlBKSS3uWhiWxN8S6IitNTZFxyf8VgrAHN3dsKGEFJSgv_-3YoYcHOVD7cvqtgvFp2Ef_8Ie-SY-RcdkrNQkWx11jB6dkAb7TnwSx3vKI_UJf-5F4vH3_qEUpSBSPKE9sNwoofDMrZPJNUBVGYkfTHIGA4JDKR6ECoc1Koztlm-WeOIl2kmoZPC7CuA.IbsMdl634nXu0pdRLYOy7FHxTirWg0mOBoG9azgpY7g&dib_tag=se&keywords=Shoes&qid=1757772481&sr=8-17
Amazon,BRUTON,458.0,3.6,https://www.amazon.in/BRUTON-Lite-Sport-Shoes-Running/dp/B0DHGN7MXL/ref=sr_1_18?dib=eyJ2IjoiMSJ9.G8P2aklFMiI_nuH8CxlbMRQDPk-uKhdbW9UORtg1qlTzIG4IJIn5D6Uhp3FvTP_g9Un0GXw7SomadfcweeKgF3mcYWzFfCQlgTuP7hYytDvID-lwYlBKSS3uWhiWxN8S6IitNTZFxyf8VgrAHN3dsKGEFJSgv_-3YoYcHOVD7cvqtgvFp2Ef_8Ie-SY-RcdkrNQkWx11jB6dkAb7TnwSx3vKI_UJf-5F4vH3_qEUpSBSPKE9sNwoofDMrZPJNUBVGYkfTHIGA4JDKR6ECoc1Koztlm-WeOIl2kmoZPC7CuA.IbsMdl634nXu0pdRLYOy7FHxTirWg0mOBoG9azgpY7g&dib_tag=se&keywords=Shoes&qid=1757772481&sr=8-18
Amazon,Boldfit,179.0,4.4,https://www.amazon.in/Boldfit-Organizer-Accessories-Travelling-Essentials/dp/B0BK1457X3/ref=sr_1_19?dib=eyJ2IjoiMSJ9.G8P2aklFMiI_nuH8CxlbMRQDPk-uKhdbW9UORtg1qlTzIG4IJIn5D6Uhp3FvTP_g9Un0GXw7SomadfcweeKgF3mcYWzFfCQlgTuP7hYytDvID-lwYlBKSS3uWhiWxN8S6IitNTZFxyf8VgrAHN3dsKGEFJSgv_-3YoYcHOVD7cvqtgvFp2Ef_8Ie-SY-RcdkrNQkWx11jB6dkAb7TnwSx3vKI_UJf-5F4vH3_qEUpSBSPKE9sNwoofDMrZPJNUBVGYkfTHIGA4JDKR6ECoc1Koztlm-WeOIl2kmoZPC7CuA.IbsMdl634nXu0pdRLYOy7FHxTirWg0mOBoG9azgpY7g&dib_tag=se&keywords=Shoes&qid=1757772481&sr=8-19
Amazon,new balance,6498.0,4.6,https://www.amazon.in/new-balance-Womens-Nimbus-Running/dp/B093QHHV2C/ref=sr_1_20?dib=eyJ2IjoiMSJ9.G8P2aklFMiI_nuH8CxlbMRQDPk-uKhdbW9UORtg1qlTzIG4IJIn5D6Uhp3FvTP_g9Un0GXw7SomadfcweeKgF3mcYWzFfCQlgTuP7hYytDvID-lwYlBKSS3uWhiWxN8S6IitNTZFxyf8VgrAHN3dsKGEFJSgv_-3YoYcHOVD7cvqtgvFp2Ef_8Ie-SY-RcdkrNQkWx11jB6dkAb7TnwSx3vKI_UJf-5F4vH3_qEUpSBSPKE9sNwoofDMrZPJNUBVGYkfTHIGA4JDKR6ECoc1Koztlm-WeOIl2kmoZPC7CuA.IbsMdl634nXu0pdRLYOy7FHxTirWg0mOBoG9azgpY7g&dib_tag=se&keywords=Shoes&qid=1757772481&sr=8-20
